체험마을명,시군구명,체험프로그램구분,체험프로그램명,소재지도로명주소,대표전화번호,홈페이지주소
계룡산상신농촌체험휴양마을,공주시,농작물경작체험+건강+만들기체험+전통문화체험,두부체험+만두만들기+만두전골체험+방과후학습+인절미체험+청국장만들기체험+한국전통명상체험+전통촌락문화탐방+상신호흡학교철야명상+바베큐체험,충청남도 공주시 반포면 상하신길 396,041-852-1479,http://blog.naver.com/dudaokr
고라데이마을,횡성군,농작물경작체험+전통문화체험+건강+자연생태체험+만들기체험+기타,감자캐기+화덕나물밥짓기+한더빠+하바리움+찜질족욕+쇠발톱빙구놀이+산골운동회+봉명폭포트래킹+보석방향제만들기+버섯농장체험+밤도깨비랑담력훈련+메밀전병+감자전체험+더덕효소담그기+더덕캐기+자연석목걸이+움막체험+움막모형만들기+우드버닝체험+염색체험+어고들+썰매타기(눈+얼음)+심마니체험+숲속명상체험+고라데이대탐험+곤드레나물수확+나무연필만들기+농산물수확(감자)+농가탐방+고구마캐기,강원특별자치도 횡성군 청일면 봉명로 375-1,NULL,http://blog.naver.com/psypsy0053
고지바위권역 장군마을,군위군,농작물경작체험+만들기체험+전통문화체험,가시오이피클만들기체험+돈가스+식사+돈가스만들기.식사+드립커피+천연폼클렌징만들기+천연촉촉스킨만들기+천연창포삼푸만들기+천연비누만들기.선물용포장박스+천연비누만들기+천연EM주방세제+찰떡만들기+장군밥상+장구만들기+향기솔솔석고방향제+핸드크림만들기+하바리룸+프리저브드플라워시계+프리저브드플라워+특산물모양절편+탱탱미백에센스만들기+쿠키+커피빵만들기+커피.음료+커피+축제행사+옥수수수확체험+아카시아콜라겐크림만들기+수제소세지만들기+소이캔들만들기+석고방향제+샌드위치만들기+바리스타체험학습+립밤+돈까스만들기+돈가스만들기+농작물수확체험+교육+꽃(플라워)떡만들기+꽃차만들기,대구광역시 군위군 효령면 장군당1길 24-6,054-382-5777,http://www.town3964.com
고추골솔바람마을,부여군,농작물경작체험+자연생태체험+건강+기타+만들기체험+전통문화체험,가족나무심기+두레풍장배우기+솔숲협동밧줄놀이+소나무숲체험+선사인의아침+서각체험_좋은문구(중)+서각체험_좋은문구(소)+서각체험_좋은문구(대)+서각체험_음각문패만들기+서각체험_양각문패만들기+부침개만들기+흙크레파스그림그리기+항아리바위솔화분만들기+프레임에색칠하기+치매치유농장+청동거울을찾아라+전통부채만들기+전통놀이+장명등을찾아라+외갓집숙박+예쁜쵸콜릿만들기+시골밥상+스마트에코페어링+솔향초만들기+솔향기종이만들기+솔잎차(솔순발효액)+솔잎와플만들기+부채동양화그리기+목공체험_평상만들기+목공체험_파라솔벤치(인)+목공체험_간이의자만들기+마을한바퀴+들꽃에코백손수건물들이기+들길걸어서+두부만들기+다도와다식만들기+고추골서당체험+나만의ASMR만들기+나만의화분만들기+농사체험+김장배추담그기+걷기명상,충청남도 부여군 초촌면 응추로 110-9,NULL,NULL
고흥해창만바닷깨비마을,고흥군,농작물경작체험+자연생태체험+만들기체험+기타,굴구이체험+동물체험+유자청만들기+바지락캐기+농촌체험,전라남도 고흥군 포두면 팔영로 385,NULL,http://badasggebi.modoo.at/
골뫼골명품마을,제천시,농작물경작체험+만들기체험+건강,감자캐기체험+산딸기체험+산채체험프로그램+양파캐기와장아찌담그기+캠핑체험+손두부체험+사과.복숭아따기,충청북도 제천시 한수면 미륵송계로1길 272-42,NULL,http://www.golmegol.com
곰재다무락(웅치)마을,남원시,농작물경작체험+만들기체험+자연생태체험+전통문화체험,꽃차체험+수확체험+옥수수강정만들기+장구놀이+실내낚시체험+무궁화꽃동산그네타기,전북특별자치도 남원시 주천면 웅치길 55-13,063-635-2157,http://www.곰재강정.com
공근봉화마을,횡성군,농작물경작체험+만들기체험+기타,고구마+감자심기/캐기+손모내기체험+옥수수수확및껍질까기+체험행사+옥수수씨앗심기+배추가꾸기,강원특별자치도 횡성군 공근면 금계서로 15,033-342-0760,http://www.공근봉화마을.com
구담마을,임실군,기타,간편고추장담그기+한지뜨기마음뜨기+전통놀이+장아찌정식+자신만의태극기+오방색실뜨기+쑥개떡만들기체험+손두부정식+섬진강길걷기체험+벌들의쿠테타(예정)+강숲명상체험+다슬기수제비+다슬기어항+매실효소담그기+매실따기체험+감따기와곶감깍기,전북특별자치도 임실군 덕치면 천담2길 287-4,063-644-9051,NULL
구레울체험마을,부여군,농작물경작체험+만들기체험+전통문화체험,겨울놀이+두부+밤맛탕만들기+밤줏기+호랭이콩따기+표고버섯+집풀공예품제작+완두콩따기+벼홀태+밤묵만들기+매실따기+대나무통밥+고구마캐기+고사리꺽기체험+낙화봉제작,충청남도 부여군 내산면 홍내로천보길 149,041-834-5900,http://cafe.daum.net/chunbo12
구마이곶감정보화마을,상주시,농작물경작체험+만들기체험+자연생태체험+건강+기타,감깎기체험+활공체험+짬내서+짬*내서-누에별빛조명만들기+자연손수건염색하기+자연손수건액자만들기+자연생태이야기와생태놀이+곶감컵케익만들기+자연손수건+구마이오토캠핑장+나만의곶감만들기+자연색으로물들이기+박일가족캠핑체험+곶감컵케익만들기,경상북도 상주시 내서면 서만4길 50,054-533-0952,NULL
구문소마을,태백시,농작물경작체험+자연생태체험+만들기체험+전통문화체험+기타,감자체험+나무간판만들기+농사체험+두부만들기+장담그기체험+음식만들기+용궁전설역활극체험+승마체험+소시지만들기+사시랭이손수건염색+미꾸라지집기+떡메치기+딸기따기체험+주말농장분양+제과제빵+전통공예체험+전래놀이+달구지타고마을탐방+농가탐방+구문소이야기탐험대+건강한음식만들기+고추장만들기+과즐만들기,강원특별자치도 태백시 사군드리길 7,033-581-8600,NULL
구미(거북장수)마을,순창군,농작물경작체험+전통문화체험+건강+자연생태체험,교육.연수+매실+복분자수확체험+밤+감수확체험+숙박체험+역사문화체험+자전거하이킹+야영장테크+복지관사용+다슬기채취,전북특별자치도 순창군 동계면 귀미로 290,063-653-9289,NULL
구병마을,보은군,기타+만들기체험,떡메치기+천연염색+메밀국수만들기+민화소품+숙박,충청북도 보은군 속리산면 구병길 8,NULL,NULL
구슬내마을,횡성군,기타+자연생태체험+건강+전통문화체험,격려금+능이판매+야영장사용+야영장입장료+야영장체험+전통인절미절구체험+전통잘구인절미체험+절구체험+추석노래자랑+전통절구인절미체험+전통인절미체험+전통먹거리체험+야영장참여+야영장사용료+야영장및방갈로체험,강원특별자치도 횡성군 서원면 신평석화로 513 (옥계리 야영장),NULL,NULL
구재봉자두중서,하동군,기타+만들기체험,구재봉등반및생태체험+녹차만들기+녹차수제비만들기+매실액만들기+야생녹차따기+매실따기+녹차비누만들기+김치축제+귀곡산장체험,경상남도 하동군 적량면 중서길 74-9,NULL,http://구재봉자두중서마을.com/
궁터마을,문경시,농작물경작체험+만들기체험+전통문화체험,얼음썰매+오미자고추장+취나물+콩잎+고들빼기김치+후백제문화체험+트리클라이밍+자연물공예+오미자+콩+고구마+아로니아+산나물채취+두부만들기+물놀이+다슬기잡기+메기잡기,경상북도 문경시 농암면 궁터길 179-8,054-571-8395,http://www.gtstvillage.com/
그리고마을,보령시,농작물경작체험+만들기체험+자연생태체험,고사리친구녹두전+자급자족캠핑+아크릴무드등+숲에서놀자+꽃과함께,충청남도 보령시 미산면 내평봉성길 342,041-935-1005,NULL
금계뜰마을,횡성군,전통문화체험+자연생태체험+만들기체험,EM흙공만들기+국궁체험+목공체험(책꽂이)+전통두부체험+천연비누+염색+천연비누+치약+천연비누+목공체험학습(보석함)+목공체험(벤치),강원특별자치도 횡성군 공근면 금계로 837,033-345-8370,http://ggtt837.modoo.at
금도끼은도끼,영동군,농작물경작체험+전통문화체험+자연생태체험,고구마심기체험+도자기만들기+포도따기체험+다육식물심기,충청북도 영동군 심천면 국악로1길 4,NULL,NULL
금돼지권역 농촌체험휴양마을,순창군,만들기체험,비누만들기,전북특별자치도 순창군 적성면 담순로 2128-80,063-652-0777,NULL
금사사도마을,고흥군,농작물경작체험+자연생태체험+기타,갯벌체험+농수산물판매+견학및답사+낚시체험,전라남도 고흥군 영남면 사도진해안길 131-1,NULL,http://sadovillage.modoo.at
기대리선애빌,보은군,기타+만들기체험+자연생태체험+건강+전통문화체험,깃대캠핑장+꿈이열리는나무+꿈찾기리더십캠프+명상스테이(박일)+목공체험(새집만들기)+생태감수성캠프+선애빌의삶+마을둘러보기+심신회복힐링스테이+풍등날리기+쿠키만들기+컨디션트레이닝+체조+에코티어링+시골마을파티+생태비누만들기+삶의여백을찾아떠나는힐링캠프+명상스테이(장기)+들풀요리+꿈연날리기,충청북도 보은군 마로면 세중기대로 261-129,070-7845-3090,NULL
기화코끼리농촌체험휴양마을협의회,평창군,농작물경작체험+건강+자연생태체험+전통문화체험,성황제체험+지역농산물체험+조용한숲길+일반캠핑+예뻐지는캠핑,강원특별자치도 평창군 미탄면 평창동강로 471-22,033-336-0591,http://gihwari.kr
길우지마을,태안군,농작물경작체험+만들기체험+자연생태체험,고구마캐기체험+목공예체험+와송화분만들기체험,충청남도 태안군 안면읍 길우지길 332-46,NULL,NULL
꽃내미풀꽃이랑마을,공주시,농작물경작체험+만들기체험+기타,감자+손수건치자물들이기+차박팜핑체험+인성교육및활동+옥수수따기+알밤줍기+쑥개떡만들기+밤경단만들기+군밤+두부만들기+떡메치기(인절미만들기)+물놀이+꽃신만들기+고구마캐기,충청남도 공주시 정안면 고성1길 250-34,041-852-1255,NULL
꽃심지 둔데기마을,임실군,농작물경작체험+만들기체험+자연생태체험+건강+기타,꽃심지패키지+옛생활문화체험-한지바람+마을문화탐방교육-역사문화이야기+식생활교육-공동체오방비밥+식생활교육-체험+옛생활문화체험-장명루+아로마테라피+농촌생활체험,전북특별자치도 임실군 오수면 둔덕2길 36,063-642-8254,NULL
나실마을,문경시,농작물경작체험+건강,다슬기줍기+사과따기+마을둘레길걷기,경상북도 문경시 마성면 하내1길 32-32,070-8134-0874,http://www.nasil.co.kr
남구마을,남해군,농작물경작체험+건강+자연생태체험,낚시갯벌체험+박물관체험+콘텐츠발전소+원데이클래스+바닷마을치유체험+남해한달살기+라벤더치유체험,경상남도 남해군 남면 남서대로 1144,NULL,http://sea-garden.kr
내양마을,신안군,농작물경작체험+만들기체험,감자캐기+김장아찌만들기+농촌풍경즐기기+문패만들기+소원적은풍등날리기+화분만들기+한지필통만들기+태양광선풍기모자만들기+짚공예+전통연날리기+전남살아보기+인절미만들기+유체꽃체험+워터볼+쌀과자만들기+신비의바닷길체험+미꾸라지체험+메주만들기+나만의옷만들기+고추장만들기+개똥쑥체험+고구마캐기,전라남도 신안군 지도읍 원내양길 61,061-261-2629,NULL
노류2리마을,상주시,농작물경작체험+전통문화체험+건강+자연생태체험+만들기체험,누에고치체험+장아찌체험+짬내서+엿만들기체험+물놀이+밀랍초만들기+송이따기체험+알알이조청만들기+밀랍비누만들기+도라지캐기체험,경상북도 상주시 내서면 배골길 505,NULL,http://noryu.kr
노봉혼불문학마을,남원시,농작물경작체험+만들기체험+자연생태체험+건강+기타,감자고구마캐기체험+목공예만들기체험+물레체험+서도역트레킹+흑초및효소시음+혼불엽서쓰기+혼불부각+혼불문학신행길축제+캠핑+족욕테라피+우드시계만들기+식초미스트만들기+스카프천연염색체험+빵도마만들기+목판혼불소원쓰기+딸기오이따기체험+교복체험+다도체험+도자기만들기체험,전북특별자치도 남원시 사매면 노봉길 84,NULL,NULL
노을지는갯마을,태안군,농작물경작체험+만들기체험+기타,갯벌체험+마늘캐기+염색체험+염전체험+칠게잡이+봄화전부침체험+두부만들기,충청남도 태안군 소원면 법산길 274-7,041-674-5842,http://www.seavillage.net
눈꽃마을,평창군,전통문화체험+자연생태체험+기타,눈썰매장운영+숲체험+레일봅슬레이체험,강원특별자치도 평창군 대관령면 차항길 11,033-333-3301,NULL
다랭이마을,남해군,농작물경작체험+건강+자연생태체험+만들기체험+전통문화체험,다랭애유자풍덩팥빙수+허수아비만들기체험+해맞이행사+페이퍼토이+축제참여+짚풀공예복조리만들기체험+전통악기+전통모내기체험+전래놀이+오리엔티어링+별관찰체험+손그물낚시+스노쿨링+연만들기+시금치캐기+달빛걷기,경상남도 남해군 남면 남면로679번길 21,NULL,NULL
다향울림촌,보성군,만들기체험+건강+기타,밀랍캔들만들기+천역녹차족욕체험,전라남도 보성군 회천면 남부관광로 2248,061-852-9855,http://다향울림촌.com/
달뜨락마을,정선군,기타,장담그기체험,강원특별자치도 정선군 정선읍 가내길 16,033-563-2007,NULL
달빛머무는마을,영동군,기타+자연생태체험,(숲체험(자연물놀이)+두부체험+들국화차·베게만들기+포도따기+국화주만들기,충청북도 영동군 황간면 원촌동1길 27,NULL,NULL
달빛영근마을,공주시,농작물경작체험+만들기체험+전통문화체험,떡매치기+벼의일생+숙박(체험관)+짚풀공예+호롱불체험+밤줍기대회,충청남도 공주시 정안면 쌍달길 160,NULL,NULL
달사과마을,안동시,농작물경작체험+기타,사과따기+사과쨈만들기+와인+연밥만들기+사과쥬스,경상북도 안동시 북후면 월전큰마길 116-82,054-842-0117,NULL
달오름마을,남원시,농작물경작체험+건강+자연생태체험+전통문화체험+만들기체험,고사리수확체험+달떡만들기+달오름물놀이+달오름소원빌기+달오름의꿈(박공예)+흥부잔치밥+천연염색+지리산흑돼지구이체험+야콘한과만들기+식.농학습농장+비누만들기+미각체험+마을설명회+달오름에코티어링(숲체험)+달오름미각체험+달오름김부각만들기+농사체험(고구마+포도+사과)+김장체험+농사체험(감자+토마토),전북특별자치도 남원시 인월면 인월서길 42,063-635-2231,http://dalorum.go2vil.org
대기철쭉꽃마을,합천군,기타+만들기체험,밤.단감.배.+숙박및시설임대+키트상품+표고버섯+특산물+숯불삼겹살+산나물+블루베리,경상남도 합천군 가회면 대기2길 17,055-931-1313,NULL
대리만족힐리지,임실군,농작물경작체험+전통문화체험+만들기체험,곡물뻥튀기만들기+물놀이체험+민속팽이꾸미기+솟대만들기+표고버섯체험+절임배추체험+나만의누룽지만들기,전북특별자치도 임실군 신평면 가덕로 707,063-644-0905,http://cafe.daum.net/healing-village
대문바위권역,무주군,농작물경작체험+건강,아로니아차만들기+아로니아천연염색,전북특별자치도 무주군 부남면 부남로 195-23,NULL,NULL
대산마을,횡성군,농작물경작체험+만들기체험+기타,감자캐기+치약만들기+옥수수체험+양말목공예+쑥개떡만들기+쌈채소수확+부침개만들기+민물고기잡기+김장체험+다육식물심기+두부만들기+떡메체험+땅콩피넛쿠키+고구마캐기,강원특별자치도 횡성군 서원면 신평석화로 172,033-342-8979,NULL
대장이랜드마을,공주시,만들기체험+기타,냅킨아트+두부만들기체험+우드버닝체험+두부만들기체험(고급),충청남도 공주시 계룡면 갑사로 307,NULL,NULL
덕고마을,횡성군,농작물경작체험+전통문화체험+만들기체험+자연생태체험+건강+기타,고구마양갱+떡메치기+물놀이체험+화전만들기+천연수세미만들기+전통혼례+전통의상체험+전통음식만들기+오미자청담그기체험+야생화화분만들기+아동요리체험+쌀베이킹+심마니체험+삼색고구마경단+민속마당+목화작품만들기+농사체험+곡물액자+꽃차시음+나만의머그컵만들기+꽃차체험,강원특별자치도 횡성군 횡성읍 덕고로 410,033-342-8583,NULL
덕곡마을,무주군,농작물경작체험+만들기체험,사과따기체험+사과청만들기+사과쨈만들기,충청남도 논산시 벌곡면 수락로237번길 20,063-322-8814,http://blog.naver.com/jintian68
덕우리마을,정선군,농작물경작체험+건강+자연생태체험+만들기체험+기타,감자전만들기+족대어항체험+운기석스트랩+옥수수양말꾸미기+아크릴무드등+신호등김밥만들기+스톤아트+스칸디아모스+소원장명루+보자기배드민턴+황금물고기낚시+향토음식만들기+쿠키베이커리+콤부차만들기+커피양갱만들기+주물럭비누만들기+물풍선나르기+맷돌커피바리스타+라탄바구니만들기+떡메치기+들꽃염색+드론체험+도토리묵만들기+덕우리트레킹+곤드레주먹밥만들기+꽃바람떡만들기+냅킨아트체험+덕우리올림픽+농사체험+계곡맨손송어잡기체험,강원특별자치도 정선군 정선읍 대촌길 56,NULL,http://www.덕우리체험마을.com
덕월마을,남해군,농작물경작체험+자연생태체험+만들기체험+전통문화체험,농사체험+떡메치기체험+선상낚시+치자비누만들기체험+통발낚시+치자염색체험+장아찌만들기+무인도바지락체험,경상남도 남해군 남면 남서대로 1176-19,NULL,NULL
도담골호반마을,공주시,농작물경작체험+기타,강백년권역체험+찾아가는농촌체험+자전거여행+낚시체험+솟대와장승만들기체험+시골길마차여행+알밤줍기체험+생태야놀자(계절별)+고향순두부만들기체험,충청남도 공주시 의당면 강백년길 29,NULL,NULL
도라지마을,순창군,농작물경작체험+건강+만들기체험+자연생태체험,과일수확+힐링아트+도라지쿠키만들기+오정삼의천수+하지감자캐기+향토음식만들기+맨손으로미꾸라기잡기+꽃차+꽃청만들기,전북특별자치도 순창군 팔덕면 평창길 4,063-653-5015,NULL
도사산촌마을,평창군,만들기체험+기타,강원토속메밀공이국수체험+솔향사포체험,강원특별자치도 평창군 용평면 도사길 273,NULL,http://blog.naver.com/dosamaul
도화리마을,제천시,농작물경작체험+만들기체험+기타,개복숭아발효액담그기+김장체험+꽃차체험+나만의머그컵만들기+나만의거울만들기,충청북도 제천시 청풍면 옥순봉로 1455,NULL,NULL
동강할미꽃마을,정선군,전통문화체험,목공예체험+숲속놀이,강원특별자치도 정선군 정선읍 동강로 2500,NULL,NULL
두메마을,보은군,농작물경작체험+건강+만들기체험+기타,농사체험+번유정란이좋다+쌈채소샌드위치만들기+양계+쌈채소체험+에너지학교+짚풀계란꾸러미만들기+양계학교+알아버지만들기+식구의건강을찾아라,충청북도 보은군 산외면 대원길 28,NULL,http://두메마을.kr
두모마을,남해군,농작물경작체험+자연생태체험+전통문화체험,개매기체험+통발체험+꽃차체험+노도문화탐방+선상낚시+씨카약체험+시금치영농체험+갯벌생태체험,경상남도 남해군 상주면 양아로533번길 18,NULL,NULL
두문마을,무주군,전통문화체험+만들기체험+기타,곤충액자만들기+불미나리체험+서당체험+외부행사참여+유등띄우기+낙화봉만들기,전북특별자치도 무주군 안성면 덕유산로 876,NULL,NULL
둔율올갱이마을,괴산군,농작물경작체험+건강+만들기체험+기타,감자캐기체험+김장김치+내희망나무갖기+둔배미펜션+풍경마차+펜션체험+천연화장품만들기+천연밀랍초만들기+제회둔율올갱이축제+제철농산물수확체험+자연산수세미만들기체험+자연물을활용한올갱이공예+스트레스날리기+풍등날리기+소루쟁이체험+사과수확체험+벼베기체험+반딧불이체험+반디와나비+모내기체험+메기구워먹기체험+떠먹는건강피자+인절미체험+음식체험+올갱이축제+올갱이전만들어먹기+올갱이공예품+옥수수체험+연날리기체험+썰매타기+시골팬션체험+두부만들기+김장배추체험+고구마캐기(쪄먹기)체험+계절농산물수확체험+계절농산물요리+계절농산물체험,충청북도 괴산군 칠성면 둔율길 142,043-830-3903,NULL
둔장농촌체험휴양마을,신안군,농작물경작체험+자연생태체험,낚시체험+삼강망그물체험+소라고동체험+후릿질+석화체험+백합체험+독살체험,전라남도 신안군 자은면 둔장길 2,NULL,NULL
득량청암마을,보성군,전통문화체험+건강+자연생태체험+만들기체험+전통문화체험,갯벌체험+천연염색+황토체험미꾸라지체험+풍등날리기체험+천연녹차양초만들기체험+대나무연필꽂이만들기체험+전통고추장만들기+전통인절미만들기체험+전통탈만들기체험+식사체험+녹차아이스크림만들기체험,전라남도 보성군 득량면 청암길 22-7,061-853-5885,http://blog.naver.com/kito1975
란두리 덕동마을,남원시,농작물경작체험+자연생태체험+만들기체험+전통문화체험,고구마수확체험+대나무피리만들기+배수확체험+새해해맞이+전통한지만들기체험+전통놀이+작은장구만들기체험+유아숲체험+우리차다도체험+옥수수수확체험+알밥만들기+쌀과자초코그림그리기+솟대만들기체험+친환경딸기따기+천연염색+복숭아수확+마을들녁걷기+농경문화체험+교육+연수(강의)+기체조+기타체험(장터등),전북특별자치도 남원시 덕과면 덕과덕동안길 10-4,063-625-2211,NULL
마동마을,보성군,농작물경작체험+기타,국화꽃따기+내마음전달하기,전라남도 보성군 벌교읍 벌교마동길 226,NULL,NULL
만대마을,태안군,농작물경작체험+만들기체험+자연생태체험+기타,농사체험+바다생태체험+염전체험+도자기체험,충청남도 태안군 이원면 원이로 2571-10,NULL,NULL
만행산상신마을,남원시,전통문화체험+자연생태체험,당일-천문체험교육프로그램+당일나형+박일체험나형+인문학강좌+박일-천문체험교육프로그램,전북특별자치도 남원시 산동면 만행산길 109,063-625-1030,http://만행산천문체험관.kr
매화둠벙마을,태안군,농작물경작체험+만들기체험+전통문화체험+기타,감자캐기+노래방+농산물보물찾기+마늘뽑기체험+미꾸라지잡기+손두부만들기+선진지견학마을소개+새집만들기체험+삼색쌀찐빵만들기+삼굿구이+삼구연필꽃이만들기+사례발표+벼도정+버섯체험+황금들판둠벙이야기+한과만들기+캠프파이어체험+짚풀공예+장뇌삼심기+인절미만들기+먹거리체험+둠벙생태체험+농사체험+건강쥬스만들기+감효소담그기+갯벌체험,충청남도 태안군 원북면 동해길 301-41,041-672-0109,NULL
맹개마을체험휴양마을,안동시,기타+건강+전통문화체험+만들기체험+자연생태체험,감자/고구마수확체험+메밀차덖기체험+밀서리축제및체험+우리밀쿠키만들기체험+팜콘서트+진맥소주증류체험+전통주시음체험+유기농석식체험+유기농다과체험+우리밀빵만들기+메밀피자만들기+메밀꽃나들이체험+건강조식체험+맹개마을나들이+맹개마을나들이+식사,경상북도 안동시 도산면 퇴계로 2642-8,NULL,http://www.maison.co.kr
머드농수산체험마을,보령시,농작물경작체험+만들기체험+건강+자연생태체험+기타,굴구이+바다체험+숙박(솔향휴양)+휴양치유+효소담그기+캠프운영+장류담그기+유기농김장담그기+산채+문화체험+김뜨기+농사체험+머드고구마가공+동물체험,충청남도 보령시 천북면 사호장은로 563-5,041-641-9940,http://mudas.modoo.at
명사마을,하동군,농작물경작체험+건강+자연생태체험+만들기체험+기타,대나무솟대만들기+하동투어+폭포물놀이+취나물캐기+참두릅수확하기+전통매듭체험+인숙박+식물염색체험+돌배따기.축제+동배김치(물김치)+둘레길투어+봄나물_수확체험+매실따기+돌배김치(깍두기),경상남도 하동군 청암면 명사길 382-10,055-882-5608,NULL
명천체험마을,고흥군,농작물경작체험+전통문화체험+기타,갯벌체험+불꽃놀이+편백향주머니만들기+해조류표본만들기+편백팔찌만들기+미역줄기만들기,전라남도 고흥군 금산면 거금일주로 2067-37,NULL,NULL
모암마을,하동군,기타+전통문화체험+만들기체험+자연생태체험,녹차비누만들기+달밤의메기낚시+핀버튼만들기+소원등만들기+녹차제다다도체험,전라남도 장성군 서삼면 모암길 45-2,NULL,NULL
몽실마을,안동시,기타+만들기체험+전통문화체험,계절별수확체험+나만의컵만들기+마차타고고고+안동찜닭+비누만들기+동화나라고고,경상북도 안동시 일직면 일직점곡로 34,NULL,NULL
무릉도원후도인성학교,무주군,전통문화체험+기타+자연생태체험+만들기체험,가족사랑별빛투어+달콤한빵만들기+무드등만들기+반딧불이캐릭터판화그리기+색칼국수만들기+콤비네이션체험+희망시계만들기+희망바람개비만들기+희망등만들기+파우치만들기+탬블러만들기+쿠키만들기체험+인절미만들기+방패연만들기+반딧불이열쇄고리만들기+머루씨앗호떡만들기+날위한특별한오늘만들기+나리부트소통과이해,전북특별자치도 무주군 무주읍 내도로 356,063-322-8806,http://sta365.modoo.at
무지돌이마을,고성군,기타+만들기체험+자연생태체험+전통문화체험,고무줄총만들기+바베큐+수세미효소만들기+황토염색체험+전래놀이+자연생태연구+울금염색체험+압화공예체험+식체험+상감공예목걸이만들기+밀납초만들기+농산물수확+농산물파종+도자기만들기+대나무피리만들기,경상남도 고성군 개천면 나선길 73-10,NULL,NULL
문경오미자권역마을,문경시,농작물경작체험+만들기체험,도예수강+오미자청만들기+오미자청담기+도예체험+도자기핸드페인팅+오미자따기+사과따기,경상북도 문경시 동로면 노은1길 26,NULL,NULL
